system:index,GFW_Loss,NDVI_Defor,Overlap,Year_Transition,.geo
0,92851.51108439635,69700.80710268053,11928.146478903194,2016-2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,74106.73990397056,90962.26310123384,9492.500348103551,2017-2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,70092.43204140938,532015.7563866117,26806.176399154352,2018-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,81805.92006454348,78871.16679227303,16578.754584659902,2019-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,77205.81681106935,65357.97034835164,10263.239700468705,2020-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,79485.81638066458,26125.65308642149,4778.417455594367,2021-2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,102788.69537526589,103375.95015690851,19550.411973462025,2022-2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,99062.95712630512,78642.35670790137,13573.702334944894,2023-2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,79933.31628938613,48631.44614178592,8023.002864280019,2024-2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
