system:index,Area_Burning_ha,Area_Defor_in_Hotspot_ha,Area_Defor_with_Burn_ha,Area_Mechanical_ha,Area_Total_Defor_ha,Year_Transition,.geo
0,1526.2741173768522,3294.87276195006,23706.825092645096,98226.16509441768,99752.43921179445,2016-2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,835.9794682615275,2256.70642009093,23708.814173655002,121298.32340828955,122134.3028765511,2017-2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2848.1104162705064,10111.177078974251,43185.6436851551,406333.795372808,409181.90578907845,2018-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,29884.417985280044,46008.0843016242,45686.36772029854,86751.03855719983,116635.45654247976,2019-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,617.8905868082186,1488.7248787201756,19006.360528395653,103422.38815304296,104040.27873985113,2020-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,678.6629428405763,1529.8890767715266,16673.990787444673,67144.75120466498,67823.41414750565,2021-2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,644.6187145935053,1310.2104841765758,45323.32869223683,169645.60412564973,170290.22284024325,2022-2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2880.903366402875,6326.089017786986,48867.48267625302,132182.89377291076,135063.79713931374,2023-2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1429.9443793222954,2911.3368117532436,29599.272473869816,111088.66928593972,112518.61366526205,2024-2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
