system:index,Area_Burning_ha,Area_Defor_in_Hotspot_ha,Area_Defor_with_Burn_ha,Area_Mechanical_ha,Area_Total_Defor_ha,Year_Transition,.geo
0,2788.7436495298152,3226.562718437786,62496.397862986734,88007.1840289418,90795.92767847166,2016-2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1924.1599513736974,2191.5109578084807,57159.830211488326,85554.75704699483,87478.91699836853,2017-2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,3519.8286764930567,3798.609014828783,63462.93792814977,74912.97244765045,78432.80112414343,2018-2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,39461.64701141973,42024.012730765884,92573.35182927424,79112.10203752166,118573.74904894135,2019-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1166.8388159272054,1401.3996375220668,57353.64262425034,87834.16743797288,89001.00625390008,2020-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2114.820122570514,2409.129532457346,84809.05701292749,110957.59764888945,113072.41777146001,2021-2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1080.1017204376344,1237.7333201568724,114626.89830679605,151637.07372857872,152717.17544901624,2022-2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,5595.73092558287,6295.589340605971,105417.1344909042,125089.18674792549,130684.9176735082,2023-2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2602.923450534525,2942.8308365580024,83277.48084225414,107520.5026165947,110123.42606712916,2024-2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
