system:index,Area_Burning_ha,Area_Mechanical_ha,Area_Total_Defor_ha,Year_Transition,.geo
0,62808.83676455149,41231.44197529979,104040.2787398511,2020-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,51027.26898863594,16796.14515886959,67823.41414750564,2021-2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,119855.32467679682,50434.89816344756,170290.22284024325,2022-2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,107699.51827613988,27364.278863173826,135063.79713931354,2023-2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,86192.37240719525,26326.241258066544,112518.6136652621,2024-2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
