system:index,GFW_Loss,NDVI_Defor,Overlap,Year_Transition,.geo
0,77205.81681106935,65357.97034835164,10263.239700468705,2020-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,79485.81638066458,26125.65308642149,4778.417455594367,2021-2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,102788.69537526589,103375.95015690851,19550.411973462025,2022-2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,99062.95712630512,78642.35670790137,13573.702334944894,2023-2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,79933.31628938613,48631.44614178592,8023.002864280019,2024-2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
